consumption_id,shelter_id,disaster_incident_id,relief_item_id,consumed_quantity,start_date,end_date,duration_days,daily_consumption_rate,peak_consumption_day,peak_consumption_quantity,remain_item,shelter_occupancy,occupancy_rate,disaster_severity,weather_conditions,special_circumstances,waste_rate,satisfaction_score,adequacy_level,restock_frequency,seasonality,children_ratio,elderly_ratio,disabled_ratio,accessibility_score,distribution_efficiency,recorded_by,created_at,updated_at
consumption_000001,SH_010962,incident_000445,relief_item_000956,1,2021-01-31,2021-02-11,11,0.09,5,0,0,1096,0.23,중간,일반,고령자 포함,0.114,2.3,과다,0,겨울,0.3,0.29,0.11,2.1,1.0,user_000009,2021-02-11,2021-02-11
consumption_000002,SH_021334,,relief_item_000022,12,2020-09-10,2020-09-11,1,12.0,1,15,2,148,0.74,중간,더위,"고령자 포함,장애인 포함,어린이 다수",0.041,3.6,부족,5,가을,0.37,0.2,0.05,2.9,0.8,user_000009,2020-09-11,2020-09-11
consumption_000003,SH_018493,,relief_item_000924,37,2019-10-31,2019-11-10,10,3.7,3,6,5,16040,0.69,높음,일반,"반려동물 포함,고령자 포함",0.089,2.0,적정,1,가을,0.08,0.07,0.01,2.0,0.94,user_000006,2019-11-10,2019-11-10
consumption_000004,SH_020723,,relief_item_000277,0,2023-01-15,2023-02-14,30,0.0,18,0,0,837,0.37,높음,비,"고령자 포함,어린이 다수,반려동물 포함",0.012,2.0,과다,5,겨울,0.39,0.21,0.04,4.5,0.81,user_000002,2023-02-14,2023-02-14
consumption_000005,SH_009199,,relief_item_000625,10,2016-08-28,2016-09-09,12,0.83,6,1,0,624,0.68,중간,눈,반려동물 포함,0.134,4.7,부족,3,여름,0.16,0.27,0.15,4.6,0.74,user_000010,2016-09-09,2016-09-09
consumption_000006,SH_010390,,relief_item_000126,2,2018-03-23,2018-03-25,2,1.0,1,1,0,34,0.64,높음,비,"어린이 다수,장애인 포함,고령자 포함",0.135,2.4,부족,5,봄,0.22,0.13,0.11,4.6,0.6,user_000002,2018-03-25,2018-03-25
consumption_000007,SH_022149,incident_000030,relief_item_000147,2,2023-02-14,2023-03-14,28,0.07,16,0,0,214,0.5,높음,비,"장애인 포함,반려동물 포함",0.04,3.8,과다,5,겨울,0.15,0.07,0.01,3.8,0.88,user_000004,2023-03-14,2023-03-14
consumption_000008,SH_007731,incident_000584,relief_item_000595,0,2017-10-15,2017-11-06,22,0.0,9,0,0,21663,0.99,낮음,추위,반려동물 포함,0.034,4.5,적정,2,가을,0.08,0.29,0.12,2.3,0.79,user_000009,2017-11-06,2017-11-06
consumption_000009,SH_000478,incident_000478,relief_item_000530,0,2019-08-27,2019-09-25,29,0.0,9,0,0,50,0.62,중간,눈,"장애인 포함,고령자 포함",0.014,4.7,과다,4,여름,0.34,0.24,0.02,4.9,0.88,user_000008,2019-09-25,2019-09-25
consumption_000010,SH_000275,incident_000260,relief_item_000923,0,2020-01-31,2020-02-27,27,0.0,4,0,0,6209,0.77,낮음,눈,"어린이 다수,반려동물 포함,고령자 포함",0.143,4.8,적정,3,겨울,0.16,0.16,0.03,4.5,0.82,user_000006,2020-02-27,2020-02-27
