match_id,donation_wish_id,relief_request_id,matched_quantity,donor_id,shelter_id,relief_item_id,status,matched_at,delivery_scheduled_at,delivery_completed_at,verified_at,delivery_company,tracking_number,delivery_address,created_at,updated_at
match_000001,wish_007370,request_009075,2,user_001659,SH_009802,relief_item_000993,매칭완료,2025-09-16T21:19:01,2025-09-18T21:19:01,2025-09-20T04:19:01,2025-09-20T06:19:01,CJ대한통운,TRK249461414,대구광역시 달성군 유가읍 테크노대로5길 58,2025-09-16T21:19:01,2025-09-16T21:19:01
match_000002,wish_011084,request_004028,4,user_001723,SH_005431,relief_item_000828,배송완료,2025-09-16T21:17:51,2025-09-18T21:17:51,2025-09-20T05:17:51,2025-09-20T06:17:51,CJ대한통운,TRK265863033,"서울특별시 종로구 북촌로 134-3 (삼청동, 삼청공원)",2025-09-16T21:17:51,2025-09-16T21:17:51
match_000003,wish_019452,request_009246,14,user_008376,SH_016581,relief_item_000607,매칭완료,2025-09-16T21:19:00,2025-09-18T21:19:00,2025-09-20T06:19:00,2025-09-20T10:19:00,우체국택배,TRK139323127,경상남도 진주시 평거로 195 (신안동),2025-09-16T21:19:00,2025-09-16T21:19:00
match_000004,wish_023956,request_007196,24,user_009586,SH_001271,relief_item_000951,검수완료,2025-09-16T21:19:19,2025-09-19T21:19:19,2025-09-21T12:19:19,2025-09-21T18:19:19,CJ대한통운,TRK691963072,"경기도 군포시 광정로 25-20 (금정동, 퇴계주공아파트)",2025-09-16T21:19:19,2025-09-16T21:19:19
match_000005,wish_014435,request_008293,3,user_004841,SH_021103,relief_item_000531,취소,2025-09-16T21:19:47,2025-09-18T21:19:47,2025-09-19T10:19:47,2025-09-19T11:19:47,우체국택배,TRK991350841,경상남도 양산시 하북면 통도사로 5 (협진태양아파트),2025-09-16T21:19:47,2025-09-16T21:19:47
match_000006,wish_005343,request_001654,3,user_007559,SH_013131,relief_item_000288,검수완료,2025-09-16T21:18:41,2025-09-19T21:18:41,2025-09-20T03:18:41,2025-09-20T07:18:41,한진택배,TRK755165195,경상남도 사천시 정동면 진삼로 1386(사천3차 한보아파트),2025-09-16T21:18:41,2025-09-16T21:18:41
match_000007,wish_013666,request_000570,2,user_003217,SH_001246,relief_item_000742,취소,2025-09-16T21:18:24,2025-09-17T21:18:24,2025-09-19T01:18:24,2025-09-19T05:18:24,우체국택배,TRK446869598,"대구광역시 수성구 달구벌대로 3081, 지하주차장 지하 1층 (시지동, 제림은세계아파트)",2025-09-16T21:18:24,2025-09-16T21:18:24
match_000008,wish_001778,request_001609,4,user_008547,SH_009663,relief_item_000355,검수완료,2025-09-16T21:18:06,2025-09-17T21:18:06,2025-09-18T15:18:06,2025-09-18T19:18:06,CJ대한통운,TRK709178372,충청북도 진천군 진천읍 중앙동로 91,2025-09-16T21:18:06,2025-09-16T21:18:06
match_000009,wish_024919,request_002636,29,user_005926,SH_022041,relief_item_000667,취소,2025-09-16T21:18:44,2025-09-18T21:18:44,2025-09-19T16:18:44,2025-09-19T21:18:44,한진택배,TRK695784730,울산광역시 남구 봉월로 155 (신정동),2025-09-16T21:18:44,2025-09-16T21:18:44
match_000010,wish_018300,request_002153,2,user_002884,SH_019733,relief_item_000331,매칭완료,2025-09-16T21:17:57,2025-09-18T21:17:57,2025-09-20T00:17:57,2025-09-20T01:17:57,우체국택배,TRK990293772,경기도 안산시 단원구 신천로 17 (원곡동),2025-09-16T21:17:57,2025-09-16T21:17:57
