request_id,shelter_id,relief_item_id,requested_quantity,current_stock,urgent_quantity,urgency_level,needed_by,status,notes,matched_wish_ids,total_matched_quantity,remaining_quantity,created_at,updated_at
request_000001,SH_001233,relief_item_000309,52,14,14,높음,2025-09-17T21:19:50,매칭완료,지진 상황 대비 요청,,0,27,2025-09-16T21:19:50,2025-09-16T21:19:50
request_000002,SH_004460,relief_item_000319,11,2,9,높음,2025-10-11T21:17:20,매칭완료,해일 상황 대비 요청,,0,6,2025-09-16T21:17:20,2025-09-16T21:17:20
request_000003,SH_004219,relief_item_000145,123,14,40,높음,2025-10-14T21:19:38,대기중,지진 상황 대비 요청,,0,109,2025-09-16T21:19:38,2025-09-16T21:19:38
request_000004,SH_000204,relief_item_000851,231,59,129,높음,2025-09-24T21:18:02,대기중,지진 상황 대비 요청,,0,172,2025-09-16T21:18:02,2025-09-16T21:18:02
request_000005,SH_000950,relief_item_000321,19,3,10,높음,2025-10-15T21:17:08,매칭완료,지진 상황 대비 요청,,0,16,2025-09-16T21:17:08,2025-09-16T21:17:08
request_000006,SH_013948,relief_item_000447,2976,879,1389,높음,2025-10-09T21:17:50,매칭완료,지진 상황 대비 요청,,0,2090,2025-09-16T21:17:50,2025-09-16T21:17:50
request_000007,SH_022046,relief_item_000950,12,1,2,높음,2025-09-17T21:19:08,대기중,한파 상황 대비 요청,,0,0,2025-09-16T21:19:08,2025-09-16T21:19:08
request_000008,SH_017870,relief_item_000838,56,6,5,높음,2025-10-01T21:18:42,배송중,지진 상황 대비 요청,,0,50,2025-09-16T21:18:42,2025-09-16T21:18:42
request_000009,SH_010443,relief_item_000289,1229,239,430,높음,2025-10-01T21:17:25,대기중,지진 상황 대비 요청,,0,990,2025-09-16T21:17:25,2025-09-16T21:17:25
request_000010,SH_016794,relief_item_000006,23,1,5,높음,2025-09-22T21:17:19,대기중,폭염 상황 대비 요청,,0,22,2025-09-16T21:17:19,2025-09-16T21:17:19
request_000011,SH_010418,relief_item_000113,3168,783,318,높음,2025-10-12T21:17:16,대기중,지진 상황 대비 요청,,0,2385,2025-09-16T21:17:16,2025-09-16T21:17:16
request_000012,SH_021667,relief_item_000219,864,255,286,높음,2025-10-07T21:17:44,매칭완료,지진 상황 대비 요청,,0,605,2025-09-16T21:17:44,2025-09-16T21:17:44
request_000013,SH_016773,relief_item_000133,723,72,554,높음,2025-09-21T21:18:58,완료,지진 상황 대비 요청,,0,651,2025-09-16T21:18:58,2025-09-16T21:18:58
request_000014,SH_022057,relief_item_000445,538,142,22,높음,2025-09-21T21:18:29,대기중,지진 상황 대비 요청,,0,389,2025-09-16T21:18:29,2025-09-16T21:18:29
request_000015,SH_007133,relief_item_000748,2032,264,706,높음,2025-10-08T21:18:23,대기중,지진 상황 대비 요청,,0,1768,2025-09-16T21:18:23,2025-09-16T21:18:23
request_000016,SH_014949,relief_item_000835,571,137,103,높음,2025-10-01T21:17:14,대기중,지진 상황 대비 요청,,0,430,2025-09-16T21:17:14,2025-09-16T21:17:14
request_000017,SH_007662,relief_item_000378,1342,165,507,높음,2025-10-11T21:17:57,매칭완료,지진 상황 대비 요청,,0,1173,2025-09-16T21:17:57,2025-09-16T21:17:57
request_000018,SH_011420,relief_item_000027,709,116,368,높음,2025-10-08T21:19:33,매칭완료,지진 상황 대비 요청,,0,590,2025-09-16T21:19:33,2025-09-16T21:19:33
