inventory_id,shelter_id,item_id,current_quantity,minimum_threshold,maximum_capacity,last_updated,expiry_date
inv_000001,shelter_0001,item_00096,407,48,1085,2025-08-15 17:14:02,
inv_000002,shelter_0001,item_00016,472,31,1365,2025-08-16 19:03:38,
inv_000003,shelter_0001,item_00031,301,88,611,2025-08-21 20:31:00,
inv_000004,shelter_0001,item_00159,706,76,791,2025-08-28 18:49:07,2026-06-02 15:09:03.447988
inv_000005,shelter_0001,item_00129,849,92,1425,2025-08-18 02:03:23,
inv_000006,shelter_0001,item_00116,92,74,731,2025-08-28 17:06:19,
inv_000007,shelter_0001,item_00070,184,84,1925,2025-09-01 18:26:45,
inv_000008,shelter_0001,item_00171,559,27,1305,2025-08-13 14:18:24,
inv_000009,shelter_0001,item_00175,423,51,1423,2025-08-21 09:54:44,
inv_000010,shelter_0001,item_00046,25,32,1429,2025-08-17 07:20:55,
inv_000011,shelter_0001,item_00067,604,35,1431,2025-08-10 02:50:02,
inv_000012,shelter_0001,item_00183,92,42,1163,2025-08-16 09:36:26,
inv_000013,shelter_0001,item_00166,708,93,1957,2025-08-24 19:58:45,
inv_000014,shelter_0001,item_00079,815,30,1971,2025-08-21 14:48:24,
inv_000015,shelter_0001,item_00187,750,25,686,2025-08-21 22:04:40,
inv_000016,shelter_0001,item_00178,116,100,1420,2025-08-17 08:18:46,
inv_000017,shelter_0001,item_00057,649,56,674,2025-08-21 08:48:00,2026-07-03 15:09:03.448445
inv_000018,shelter_0001,item_00153,724,59,1988,2025-09-04 16:40:49,
inv_000019,shelter_0001,item_00083,810,75,1753,2025-08-30 05:02:38,
inv_000020,shelter_0001,item_00069,972,30,1275,2025-08-31 00:57:58,
inv_000021,shelter_0001,item_00125,563,58,589,2025-08-11 13:00:07,
inv_000022,shelter_0001,item_00017,786,31,1186,2025-08-31 09:19:42,
inv_000023,shelter_0001,item_00149,579,94,807,2025-09-01 15:30:07,
inv_000024,shelter_0001,item_00094,166,28,866,2025-08-28 07:33:04,
inv_000025,shelter_0002,item_00177,429,49,1133,2025-08-11 01:40:53,
inv_000026,shelter_0002,item_00034,747,67,1091,2025-08-24 17:25:06,
inv_000027,shelter_0002,item_00122,641,33,740,2025-08-16 03:59:21,
inv_000028,shelter_0002,item_00181,920,26,915,2025-08-19 05:43:28,
inv_000029,shelter_0002,item_00103,3,89,1018,2025-09-07 06:36:00,
inv_000030,shelter_0002,item_00136,12,68,1519,2025-09-04 14:46:38,2026-06-20 15:09:03.449197
inv_000031,shelter_0002,item_00089,556,10,1745,2025-09-02 14:06:43,
inv_000032,shelter_0002,item_00077,903,73,987,2025-08-30 08:10:59,
inv_000033,shelter_0002,item_00066,222,85,1850,2025-08-28 19:31:16,
inv_000034,shelter_0002,item_00125,487,68,1339,2025-09-01 10:28:03,
inv_000035,shelter_0002,item_00108,452,20,1731,2025-08-24 07:27:13,
inv_000036,shelter_0003,item_00161,6,41,1620,2025-08-12 03:30:45,
inv_000037,shelter_0003,item_00015,284,89,1787,2025-09-04 19:13:31,
inv_000038,shelter_0003,item_00110,570,36,600,2025-09-02 20:46:07,
inv_000039,shelter_0003,item_00020,189,28,612,2025-09-02 06:18:28,
inv_000040,shelter_0003,item_00123,668,54,575,2025-08-16 03:22:52,
inv_000041,shelter_0003,item_00167,148,14,1866,2025-08-13 06:34:38,
inv_000042,shelter_0003,item_00097,591,87,1111,2025-08-11 13:25:29,
inv_000043,shelter_0003,item_00038,339,21,600,2025-08-31 10:03:56,
inv_000044,shelter_0003,item_00027,111,63,865,2025-08-26 00:59:51,
inv_000045,shelter_0003,item_00041,165,96,1082,2025-08-18 07:05:34,
inv_000046,shelter_0003,item_00136,625,94,1916,2025-08-23 19:29:11,2026-08-08 15:09:03.450050
inv_000047,shelter_0003,item_00079,586,81,863,2025-08-12 03:27:16,
inv_000048,shelter_0003,item_00176,989,68,1685,2025-08-10 14:59:35,
inv_000049,shelter_0003,item_00050,368,14,690,2025-08-21 08:03:17,
inv_000050,shelter_0003,item_00083,786,48,1161,2025-08-20 05:54:41,
inv_000051,shelter_0003,item_00003,377,58,638,2025-08-11 08:51:20,2026-05-14 15:09:03.450216
inv_000052,shelter_0003,item_00066,863,80,632,2025-08-27 14:39:51,
inv_000053,shelter_0003,item_00057,299,70,775,2025-08-13 04:15:05,2025-12-09 15:09:03.450289
inv_000054,shelter_0003,item_00198,711,45,1174,2025-08-10 12:54:10,
inv_000055,shelter_0003,item_00109,539,62,1574,2025-09-07 16:16:30,
inv_000056,shelter_0003,item_00116,214,99,928,2025-09-02 13:35:29,
inv_000057,shelter_0003,item_00119,626,17,723,2025-08-16 15:40:10,2026-07-27 15:09:03.450428
inv_000058,shelter_0003,item_00032,747,90,1583,2025-08-23 09:38:07,
inv_000059,shelter_0003,item_00104,89,71,1982,2025-09-01 01:21:50,
inv_000060,shelter_0003,item_00071,705,87,1947,2025-08-16 07:25:49,
inv_000061,shelter_0003,item_00115,294,64,1746,2025-08-26 08:42:54,2026-03-19 15:09:03.450559
inv_000062,shelter_0003,item_00072,265,77,1677,2025-08-23 01:18:27,
inv_000063,shelter_0003,item_00006,638,55,765,2025-08-18 12:10:58,2026-08-18 15:09:03.450629
inv_000064,shelter_0003,item_00088,576,73,1564,2025-08-30 14:46:15,2026-08-27 15:09:03.450670
inv_000065,shelter_0004,item_00139,504,33,1748,2025-08-26 10:41:02,
inv_000066,shelter_0004,item_00071,238,100,1094,2025-08-23 16:15:21,
inv_000067,shelter_0004,item_00064,198,10,742,2025-08-12 18:34:06,
inv_000068,shelter_0004,item_00135,24,69,1780,2025-08-30 20:08:20,2025-12-07 15:09:03.451077
inv_000069,shelter_0004,item_00067,755,36,1760,2025-09-04 10:48:01,
inv_000070,shelter_0004,item_00133,424,62,593,2025-09-07 09:35:32,
inv_000071,shelter_0004,item_00194,341,54,1647,2025-08-19 16:45:06,
inv_000072,shelter_0004,item_00116,825,91,934,2025-09-07 10:39:39,
inv_000073,shelter_0004,item_00145,11,91,912,2025-08-18 06:23:53,
inv_000074,shelter_0004,item_00176,706,46,1021,2025-09-02 04:40:41,
inv_000075,shelter_0004,item_00066,809,18,1130,2025-08-30 17:15:56,
inv_000076,shelter_0004,item_00007,307,74,1626,2025-08-20 23:42:11,
inv_000077,shelter_0004,item_00009,331,10,733,2025-09-06 19:59:00,
inv_000078,shelter_0004,item_00068,702,52,1199,2025-09-05 09:00:18,2026-04-28 15:09:03.451421
inv_000079,shelter_0004,item_00025,741,82,1761,2025-08-25 02:53:08,
inv_000080,shelter_0004,item_00187,983,13,859,2025-08-18 15:01:04,
inv_000081,shelter_0004,item_00042,198,52,1192,2025-08-20 06:55:20,
inv_000082,shelter_0004,item_00129,944,96,1481,2025-09-05 14:24:53,
inv_000083,shelter_0004,item_00013,938,70,572,2025-08-14 15:37:05,
inv_000084,shelter_0004,item_00022,661,27,1486,2025-09-05 09:29:56,
inv_000085,shelter_0004,item_00103,159,90,1443,2025-08-17 20:21:08,
inv_000086,shelter_0004,item_00106,913,78,1186,2025-09-03 10:50:45,
inv_000087,shelter_0004,item_00075,473,62,614,2025-09-06 14:53:23,
inv_000088,shelter_0004,item_00162,855,76,1113,2025-08-18 21:21:38,
inv_000089,shelter_0004,item_00163,578,96,1146,2025-08-28 03:25:43,
inv_000090,shelter_0005,item_00112,548,12,926,2025-08-18 22:30:07,2026-07-30 15:09:03.452074
inv_000091,shelter_0005,item_00181,701,52,1224,2025-08-17 17:02:05,
