stat_id,shelter_id,date,occupancy_count,occupancy_rate,new_arrivals,departures,total_meals_served,total_supplies_distributed,emergency_requests,staff_count,volunteer_count,created_at
stat_00000001,shelter_0001,2024-09-08 15:09:03.316503,2,0.026,2,0,26,4,0,20,8,2024-09-09 15:08:03.316503
stat_00000002,shelter_0001,2024-09-09 15:09:03.316503,0,0.0,0,5,9,0,0,12,20,2024-09-10 15:08:03.316503
stat_00000003,shelter_0001,2024-09-10 15:09:03.316503,14,0.182,14,0,37,4,0,15,6,2024-09-11 15:08:03.316503
stat_00000004,shelter_0001,2024-09-11 15:09:03.316503,12,0.156,0,2,30,19,3,13,6,2024-09-12 15:08:03.316503
stat_00000005,shelter_0001,2024-09-12 15:09:03.316503,8,0.104,0,4,21,16,0,7,10,2024-09-13 15:08:03.316503
stat_00000006,shelter_0001,2024-09-13 15:09:03.316503,21,0.273,13,0,54,8,0,9,14,2024-09-14 15:08:03.316503
stat_00000007,shelter_0001,2024-09-14 15:09:03.316503,17,0.221,0,4,42,12,0,15,25,2024-09-15 15:08:03.316503
stat_00000008,shelter_0001,2024-09-15 15:09:03.316503,7,0.091,0,10,23,6,0,5,21,2024-09-16 15:08:03.316503
stat_00000009,shelter_0001,2024-09-16 15:09:03.316503,10,0.13,3,0,27,17,0,10,29,2024-09-17 15:08:03.316503
stat_00000010,shelter_0001,2024-09-17 15:09:03.316503,25,0.325,15,0,67,37,0,13,20,2024-09-18 15:08:03.316503
stat_00000011,shelter_0001,2024-09-18 15:09:03.316503,30,0.39,5,0,86,34,0,6,10,2024-09-19 15:08:03.316503
stat_00000012,shelter_0001,2024-09-19 15:09:03.316503,22,0.286,0,8,67,23,0,12,16,2024-09-20 15:08:03.316503
stat_00000013,shelter_0001,2024-09-20 15:09:03.316503,21,0.273,0,1,79,26,0,7,3,2024-09-21 15:08:03.316503
stat_00000014,shelter_0001,2024-09-21 15:09:03.316503,12,0.156,0,9,27,16,0,14,25,2024-09-22 15:08:03.316503
stat_00000015,shelter_0001,2024-09-22 15:09:03.316503,77,1.0,7,0,245,72,0,19,7,2024-09-23 15:08:03.316503
stat_00000016,shelter_0001,2024-09-23 15:09:03.316503,71,0.922,0,6,225,112,0,10,8,2024-09-24 15:08:03.316503
stat_00000017,shelter_0001,2024-09-24 15:09:03.316503,66,0.857,0,5,217,23,0,14,27,2024-09-25 15:08:03.316503
stat_00000018,shelter_0001,2024-09-25 15:09:03.316503,77,1.0,13,0,223,47,0,16,13,2024-09-26 15:08:03.316503
stat_00000019,shelter_0001,2024-09-26 15:09:03.316503,69,0.896,0,8,221,129,0,6,22,2024-09-27 15:08:03.316503
stat_00000020,shelter_0001,2024-09-27 15:09:03.316503,73,0.948,4,0,215,81,0,12,28,2024-09-28 15:08:03.316503
stat_00000021,shelter_0001,2024-09-28 15:09:03.316503,77,1.0,6,0,240,101,0,19,30,2024-09-29 15:08:03.316503
stat_00000022,shelter_0001,2024-09-29 15:09:03.316503,77,1.0,3,0,244,107,0,13,2,2024-09-30 15:08:03.316503
stat_00000023,shelter_0001,2024-09-30 15:09:03.316503,77,1.0,11,0,239,146,0,9,18,2024-10-01 15:08:03.316503
stat_00000024,shelter_0001,2024-10-01 15:09:03.316503,77,1.0,12,0,245,101,1,20,29,2024-10-02 15:08:03.316503
stat_00000025,shelter_0001,2024-10-02 15:09:03.316503,77,1.0,7,0,241,134,0,14,21,2024-10-03 15:08:03.316503
stat_00000026,shelter_0001,2024-10-03 15:09:03.316503,74,0.961,0,3,221,100,0,12,15,2024-10-04 15:08:03.316503
stat_00000027,shelter_0001,2024-10-04 15:09:03.316503,77,1.0,5,0,244,144,0,14,19,2024-10-05 15:08:03.316503
stat_00000028,shelter_0001,2024-10-05 15:09:03.316503,72,0.935,0,5,221,30,0,15,22,2024-10-06 15:08:03.316503
stat_00000029,shelter_0001,2024-10-06 15:09:03.316503,77,1.0,12,0,249,101,0,5,2,2024-10-07 15:08:03.316503
stat_00000030,shelter_0001,2024-10-07 15:09:03.316503,77,1.0,13,0,229,141,0,15,16,2024-10-08 15:08:03.316503
stat_00000031,shelter_0001,2024-10-08 15:09:03.316503,77,1.0,9,0,230,143,0,11,12,2024-10-09 15:08:03.316503
stat_00000032,shelter_0001,2024-10-09 15:09:03.316503,69,0.896,0,8,201,18,0,19,2,2024-10-10 15:08:03.316503
stat_00000033,shelter_0001,2024-10-10 15:09:03.316503,75,0.974,6,0,218,79,0,18,20,2024-10-11 15:08:03.316503
stat_00000034,shelter_0001,2024-10-11 15:09:03.316503,65,0.844,0,10,187,121,0,19,1,2024-10-12 15:08:03.316503
stat_00000035,shelter_0001,2024-10-12 15:09:03.316503,63,0.818,0,2,202,54,5,18,3,2024-10-13 15:08:03.316503
stat_00000036,shelter_0001,2024-10-13 15:09:03.316503,77,1.0,14,0,236,13,0,10,24,2024-10-14 15:08:03.316503
stat_00000037,shelter_0001,2024-10-14 15:09:03.316503,77,1.0,8,0,222,62,0,16,27,2024-10-15 15:08:03.316503
stat_00000038,shelter_0001,2024-10-15 15:09:03.316503,77,1.0,4,0,223,100,0,13,18,2024-10-16 15:08:03.316503
stat_00000039,shelter_0001,2024-10-16 15:09:03.316503,67,0.87,0,10,194,53,0,14,19,2024-10-17 15:08:03.316503
stat_00000040,shelter_0001,2024-10-17 15:09:03.316503,63,0.818,0,4,192,59,0,17,16,2024-10-18 15:08:03.316503
stat_00000041,shelter_0001,2024-10-18 15:09:03.316503,68,0.883,5,0,199,36,0,17,11,2024-10-19 15:08:03.316503
stat_00000042,shelter_0001,2024-10-19 15:09:03.316503,77,1.0,9,0,243,71,0,18,27,2024-10-20 15:08:03.316503
stat_00000043,shelter_0001,2024-10-20 15:09:03.316503,77,1.0,7,0,230,133,0,11,7,2024-10-21 15:08:03.316503
stat_00000044,shelter_0001,2024-10-21 15:09:03.316503,77,1.0,3,0,222,131,0,5,9,2024-10-22 15:08:03.316503
stat_00000045,shelter_0001,2024-10-22 15:09:03.316503,77,1.0,9,0,238,57,0,5,14,2024-10-23 15:08:03.316503
stat_00000046,shelter_0001,2024-10-23 15:09:03.316503,76,0.987,0,1,228,150,0,20,21,2024-10-24 15:08:03.316503
stat_00000047,shelter_0001,2024-10-24 15:09:03.316503,77,1.0,15,0,236,5,0,14,29,2024-10-25 15:08:03.316503
stat_00000048,shelter_0001,2024-10-25 15:09:03.316503,71,0.922,0,6,215,99,0,7,18,2024-10-26 15:08:03.316503
stat_00000049,shelter_0001,2024-10-26 15:09:03.316503,77,1.0,9,0,229,27,0,13,14,2024-10-27 15:08:03.316503
stat_00000050,shelter_0001,2024-10-27 15:09:03.316503,77,1.0,15,0,227,20,0,13,9,2024-10-28 15:08:03.316503
stat_00000051,shelter_0001,2024-10-28 15:09:03.316503,73,0.948,0,4,227,131,0,14,30,2024-10-29 15:08:03.316503
stat_00000052,shelter_0001,2024-10-29 15:09:03.316503,74,0.961,1,0,224,70,0,14,0,2024-10-30 15:08:03.316503
stat_00000053,shelter_0001,2024-10-30 15:09:03.316503,65,0.844,0,9,196,75,0,17,22,2024-10-31 15:08:03.316503
stat_00000054,shelter_0001,2024-10-31 15:09:03.316503,75,0.974,10,0,233,96,0,16,20,2024-11-01 15:08:03.316503
stat_00000055,shelter_0001,2024-11-01 15:09:03.316503,77,1.0,13,0,245,61,0,13,18,2024-11-02 15:08:03.316503
stat_00000056,shelter_0001,2024-11-02 15:09:03.316503,77,1.0,1,0,225,8,0,15,7,2024-11-03 15:08:03.316503
stat_00000057,shelter_0001,2024-11-03 15:09:03.316503,77,1.0,9,0,228,145,5,14,5,2024-11-04 15:08:03.316503
stat_00000058,shelter_0001,2024-11-04 15:09:03.316503,77,1.0,13,0,234,89,0,17,9,2024-11-05 15:08:03.316503
stat_00000059,shelter_0001,2024-11-05 15:09:03.316503,73,0.948,0,4,210,109,0,9,22,2024-11-06 15:08:03.316503
stat_00000060,shelter_0001,2024-11-06 15:09:03.316503,76,0.987,3,0,223,12,1,19,14,2024-11-07 15:08:03.316503
stat_00000061,shelter_0001,2024-11-07 15:09:03.316503,77,1.0,6,0,242,52,0,15,11,2024-11-08 15:08:03.316503
stat_00000062,shelter_0001,2024-11-08 15:09:03.316503,77,1.0,6,0,231,43,0,8,13,2024-11-09 15:08:03.316503
stat_00000063,shelter_0001,2024-11-09 15:09:03.316503,77,1.0,13,0,224,95,0,7,6,2024-11-10 15:08:03.316503
stat_00000064,shelter_0001,2024-11-10 15:09:03.316503,74,0.961,0,3,216,30,0,18,21,2024-11-11 15:08:03.316503
stat_00000065,shelter_0001,2024-11-11 15:09:03.316503,77,1.0,13,0,231,154,5,20,10,2024-11-12 15:08:03.316503
stat_00000066,shelter_0001,2024-11-12 15:09:03.316503,77,1.0,1,0,251,102,2,19,19,2024-11-13 15:08:03.316503
stat_00000067,shelter_0001,2024-11-13 15:09:03.316503,67,0.87,0,10,203,125,2,5,4,2024-11-14 15:08:03.316503
stat_00000068,shelter_0001,2024-11-14 15:09:03.316503,68,0.883,1,0,204,106,0,18,28,2024-11-15 15:08:03.316503
stat_00000069,shelter_0001,2024-11-15 15:09:03.316503,59,0.766,0,9,191,74,0,6,23,2024-11-16 15:08:03.316503
stat_00000070,shelter_0001,2024-11-16 15:09:03.316503,52,0.675,0,7,155,75,0,19,17,2024-11-17 15:08:03.316503
stat_00000071,shelter_0001,2024-11-17 15:09:03.316503,66,0.857,14,0,214,87,0,20,14,2024-11-18 15:08:03.316503
stat_00000072,shelter_0001,2024-11-18 15:09:03.316503,60,0.779,0,6,200,23,0,16,16,2024-11-19 15:08:03.316503
stat_00000073,shelter_0001,2024-11-19 15:09:03.316503,65,0.844,5,0,205,91,0,18,1,2024-11-20 15:08:03.316503
stat_00000074,shelter_0001,2024-11-20 15:09:03.316503,75,0.974,10,0,238,58,0,18,2,2024-11-21 15:08:03.316503
stat_00000075,shelter_0001,2024-11-21 15:09:03.316503,77,1.0,15,0,232,77,0,12,0,2024-11-22 15:08:03.316503
stat_00000076,shelter_0001,2024-11-22 15:09:03.316503,71,0.922,0,6,226,23,0,6,30,2024-11-23 15:08:03.316503
stat_00000077,shelter_0001,2024-11-23 15:09:03.316503,76,0.987,5,0,230,85,0,14,22,2024-11-24 15:08:03.316503
stat_00000078,shelter_0001,2024-11-24 15:09:03.316503,76,0.987,0,0,236,41,0,18,8,2024-11-25 15:08:03.316503
stat_00000079,shelter_0001,2024-11-25 15:09:03.316503,74,0.961,0,2,228,10,0,14,30,2024-11-26 15:08:03.316503
stat_00000080,shelter_0001,2024-11-26 15:09:03.316503,77,1.0,3,0,223,93,2,20,2,2024-11-27 15:08:03.316503
stat_00000081,shelter_0001,2024-11-27 15:09:03.316503,77,1.0,14,0,229,77,0,13,28,2024-11-28 15:08:03.316503
stat_00000082,shelter_0001,2024-11-28 15:09:03.316503,67,0.87,0,10,215,73,0,10,10,2024-11-29 15:08:03.316503
stat_00000083,shelter_0001,2024-11-29 15:09:03.316503,61,0.792,0,6,193,23,0,11,8,2024-11-30 15:08:03.316503
stat_00000084,shelter_0001,2024-11-30 15:09:03.316503,63,0.818,2,0,182,35,0,18,8,2024-12-01 15:08:03.316503
stat_00000085,shelter_0001,2024-12-01 15:09:03.316503,65,0.844,2,0,194,14,0,5,30,2024-12-02 15:08:03.316503
stat_00000086,shelter_0001,2024-12-02 15:09:03.316503,71,0.922,6,0,223,2,0,16,1,2024-12-03 15:08:03.316503
stat_00000087,shelter_0001,2024-12-03 15:09:03.316503,77,1.0,6,0,236,103,0,14,5,2024-12-04 15:08:03.316503
stat_00000088,shelter_0001,2024-12-04 15:09:03.316503,77,1.0,1,0,231,123,0,9,6,2024-12-05 15:08:03.316503
stat_00000089,shelter_0001,2024-12-05 15:09:03.316503,76,0.987,0,1,225,99,0,17,25,2024-12-06 15:08:03.316503
stat_00000090,shelter_0001,2024-12-06 15:09:03.316503,68,0.883,0,8,216,122,0,17,22,2024-12-07 15:08:03.316503
stat_00000091,shelter_0001,2024-12-07 15:09:03.316503,73,0.948,5,0,239,138,0,19,20,2024-12-08 15:08:03.316503
stat_00000092,shelter_0001,2024-12-08 15:09:03.316503,74,0.961,1,0,234,52,0,17,28,2024-12-09 15:08:03.316503
stat_00000093,shelter_0001,2024-12-09 15:09:03.316503,68,0.883,0,6,205,132,3,12,13,2024-12-10 15:08:03.316503
stat_00000094,shelter_0001,2024-12-10 15:09:03.316503,77,1.0,0,1,232,43,0,17,26,2024-12-11 15:08:03.316503
stat_00000095,shelter_0001,2024-12-11 15:09:03.316503,77,1.0,12,0,233,85,0,16,26,2024-12-12 15:08:03.316503
stat_00000096,shelter_0001,2024-12-12 15:09:03.316503,70,0.909,0,7,208,112,0,10,4,2024-12-13 15:08:03.316503
stat_00000097,shelter_0001,2024-12-13 15:09:03.316503,77,1.0,14,0,225,116,0,7,18,2024-12-14 15:08:03.316503
stat_00000098,shelter_0001,2024-12-14 15:09:03.316503,70,0.909,0,7,212,125,0,20,2,2024-12-15 15:08:03.316503
stat_00000099,shelter_0001,2024-12-15 15:09:03.316503,75,0.974,5,0,229,70,0,6,28,2024-12-16 15:08:03.316503
stat_00000100,shelter_0001,2024-12-16 15:09:03.316503,77,1.0,4,0,226,2,0,6,30,2024-12-17 15:08:03.316503
stat_00000101,shelter_0001,2024-12-17 15:09:03.316503,77,1.0,0,0,239,106,0,17,25,2024-12-18 15:08:03.316503
stat_00000102,shelter_0001,2024-12-18 15:09:03.316503,77,1.0,7,0,242,30,0,11,18,2024-12-19 15:08:03.316503
stat_00000103,shelter_0001,2024-12-19 15:09:03.316503,68,0.883,0,9,221,132,0,7,11,2024-12-20 15:08:03.316503
stat_00000104,shelter_0001,2024-12-20 15:09:03.316503,76,0.987,8,0,219,55,0,18,6,2024-12-21 15:08:03.316503
stat_00000105,shelter_0001,2024-12-21 15:09:03.316503,77,1.0,3,0,245,64,1,5,28,2024-12-22 15:08:03.316503
stat_00000106,shelter_0001,2024-12-22 15:09:03.316503,67,0.87,0,10,203,48,0,5,25,2024-12-23 15:08:03.316503
stat_00000107,shelter_0001,2024-12-23 15:09:03.316503,72,0.935,5,0,216,15,0,13,21,2024-12-24 15:08:03.316503
stat_00000108,shelter_0001,2024-12-24 15:09:03.316503,69,0.896,0,3,216,87,0,20,29,2024-12-25 15:08:03.316503
stat_00000109,shelter_0001,2024-12-25 15:09:03.316503,64,0.831,0,5,196,89,0,6,9,2024-12-26 15:08:03.316503
stat_00000110,shelter_0001,2024-12-26 15:09:03.316503,55,0.714,0,9,165,20,2,16,13,2024-12-27 15:08:03.316503
stat_00000111,shelter_0001,2024-12-27 15:09:03.316503,45,0.584,0,10,126,12,0,11,18,2024-12-28 15:08:03.316503
stat_00000112,shelter_0001,2024-12-28 15:09:03.316503,37,0.481,0,8,131,45,0,19,24,2024-12-29 15:08:03.316503
stat_00000113,shelter_0001,2024-12-29 15:09:03.316503,33,0.429,0,4,105,33,0,6,0,2024-12-30 15:08:03.316503
stat_00000114,shelter_0001,2024-12-30 15:09:03.316503,41,0.532,8,0,116,72,4,18,15,2024-12-31 15:08:03.316503
stat_00000115,shelter_0001,2024-12-31 15:09:03.316503,55,0.714,14,0,176,37,0,18,8,2025-01-01 15:08:03.316503
stat_00000116,shelter_0001,2025-01-01 15:09:03.316503,55,0.714,0,0,162,110,0,6,4,2025-01-02 15:08:03.316503
stat_00000117,shelter_0001,2025-01-02 15:09:03.316503,70,0.909,15,0,205,111,0,16,7,2025-01-03 15:08:03.316503
stat_00000118,shelter_0001,2025-01-03 15:09:03.316503,77,1.0,7,0,238,54,0,7,24,2025-01-04 15:08:03.316503
stat_00000119,shelter_0001,2025-01-04 15:09:03.316503,77,1.0,8,0,230,41,0,16,3,2025-01-05 15:08:03.316503
stat_00000120,shelter_0001,2025-01-05 15:09:03.316503,77,1.0,13,0,238,105,0,5,16,2025-01-06 15:08:03.316503
stat_00000121,shelter_0001,2025-01-06 15:09:03.316503,77,1.0,9,0,246,147,0,13,5,2025-01-07 15:08:03.316503
stat_00000122,shelter_0001,2025-01-07 15:09:03.316503,77,1.0,9,0,227,103,0,8,7,2025-01-08 15:08:03.316503
stat_00000123,shelter_0001,2025-01-08 15:09:03.316503,77,1.0,7,0,231,34,0,5,4,2025-01-09 15:08:03.316503
stat_00000124,shelter_0001,2025-01-09 15:09:03.316503,71,0.922,0,6,217,125,0,14,7,2025-01-10 15:08:03.316503
stat_00000125,shelter_0001,2025-01-10 15:09:03.316503,75,0.974,4,0,215,12,0,12,13,2025-01-11 15:08:03.316503
stat_00000126,shelter_0001,2025-01-11 15:09:03.316503,77,1.0,13,0,233,138,0,17,5,2025-01-12 15:08:03.316503
stat_00000127,shelter_0001,2025-01-12 15:09:03.316503,77,1.0,5,0,249,34,0,15,30,2025-01-13 15:08:03.316503
stat_00000128,shelter_0001,2025-01-13 15:09:03.316503,77,1.0,15,0,225,47,0,16,10,2025-01-14 15:08:03.316503
stat_00000129,shelter_0001,2025-01-14 15:09:03.316503,75,0.974,0,2,218,138,0,17,30,2025-01-15 15:08:03.316503
stat_00000130,shelter_0001,2025-01-15 15:09:03.316503,74,0.961,0,1,221,56,0,16,4,2025-01-16 15:08:03.316503
stat_00000131,shelter_0001,2025-01-16 15:09:03.316503,75,0.974,1,0,234,140,0,13,24,2025-01-17 15:08:03.316503
stat_00000132,shelter_0001,2025-01-17 15:09:03.316503,77,1.0,10,0,230,53,0,13,19,2025-01-18 15:08:03.316503
stat_00000133,shelter_0001,2025-01-18 15:09:03.316503,71,0.922,0,6,217,108,0,6,30,2025-01-19 15:08:03.316503
stat_00000134,shelter_0001,2025-01-19 15:09:03.316503,77,1.0,2,0,243,107,0,18,1,2025-01-20 15:08:03.316503
stat_00000135,shelter_0001,2025-01-20 15:09:03.316503,74,0.961,0,3,212,72,0,12,8,2025-01-21 15:08:03.316503
stat_00000136,shelter_0001,2025-01-21 15:09:03.316503,77,1.0,4,0,234,66,0,7,22,2025-01-22 15:08:03.316503
stat_00000137,shelter_0001,2025-01-22 15:09:03.316503,77,1.0,15,0,241,79,0,9,22,2025-01-23 15:08:03.316503
stat_00000138,shelter_0001,2025-01-23 15:09:03.316503,73,0.948,0,4,221,109,0,18,5,2025-01-24 15:08:03.316503
stat_00000139,shelter_0001,2025-01-24 15:09:03.316503,77,1.0,4,0,233,108,0,18,1,2025-01-25 15:08:03.316503
stat_00000140,shelter_0001,2025-01-25 15:09:03.316503,77,1.0,15,0,244,125,0,16,20,2025-01-26 15:08:03.316503
stat_00000141,shelter_0001,2025-01-26 15:09:03.316503,67,0.87,0,10,211,80,0,20,18,2025-01-27 15:08:03.316503
stat_00000142,shelter_0001,2025-01-27 15:09:03.316503,68,0.883,1,0,199,34,0,18,22,2025-01-28 15:08:03.316503
stat_00000143,shelter_0001,2025-01-28 15:09:03.316503,60,0.779,0,8,181,76,0,20,25,2025-01-29 15:08:03.316503
stat_00000144,shelter_0001,2025-01-29 15:09:03.316503,56,0.727,0,4,173,53,0,16,19,2025-01-30 15:08:03.316503
stat_00000145,shelter_0001,2025-01-30 15:09:03.316503,63,0.818,7,0,197,55,0,7,18,2025-01-31 15:08:03.316503
stat_00000146,shelter_0001,2025-01-31 15:09:03.316503,69,0.896,6,0,221,5,0,7,28,2025-02-01 15:08:03.316503
stat_00000147,shelter_0001,2025-02-01 15:09:03.316503,62,0.805,0,7,205,8,0,7,2,2025-02-02 15:08:03.316503
stat_00000148,shelter_0001,2025-02-02 15:09:03.316503,57,0.74,0,5,181,83,3,19,30,2025-02-03 15:08:03.316503
stat_00000149,shelter_0001,2025-02-03 15:09:03.316503,66,0.857,9,0,204,12,0,17,17,2025-02-04 15:08:03.316503
stat_00000150,shelter_0001,2025-02-04 15:09:03.316503,72,0.935,6,0,223,0,0,12,5,2025-02-05 15:08:03.316503
stat_00000151,shelter_0001,2025-02-05 15:09:03.316503,70,0.909,0,2,224,75,0,5,2,2025-02-06 15:08:03.316503
stat_00000152,shelter_0001,2025-02-06 15:09:03.316503,77,1.0,15,0,234,58,0,5,9,2025-02-07 15:08:03.316503
stat_00000153,shelter_0001,2025-02-07 15:09:03.316503,72,0.935,0,5,221,108,0,19,19,2025-02-08 15:08:03.316503
stat_00000154,shelter_0001,2025-02-08 15:09:03.316503,77,1.0,6,0,246,118,0,12,28,2025-02-09 15:08:03.316503
stat_00000155,shelter_0001,2025-02-09 15:09:03.316503,67,0.87,0,10,192,106,0,12,12,2025-02-10 15:08:03.316503
stat_00000156,shelter_0001,2025-02-10 15:09:03.316503,77,1.0,15,0,245,22,0,17,10,2025-02-11 15:08:03.316503
stat_00000157,shelter_0001,2025-02-11 15:09:03.316503,67,0.87,0,10,217,54,0,14,19,2025-02-12 15:08:03.316503
stat_00000158,shelter_0001,2025-02-12 15:09:03.316503,72,0.935,5,0,227,49,0,15,19,2025-02-13 15:08:03.316503
stat_00000159,shelter_0001,2025-02-13 15:09:03.316503,77,1.0,7,0,229,67,0,11,1,2025-02-14 15:08:03.316503
stat_00000160,shelter_0001,2025-02-14 15:09:03.316503,77,1.0,2,0,251,49,0,6,7,2025-02-15 15:08:03.316503
stat_00000161,shelter_0001,2025-02-15 15:09:03.316503,77,1.0,15,0,226,133,0,12,18,2025-02-16 15:08:03.316503
stat_00000162,shelter_0001,2025-02-16 15:09:03.316503,77,1.0,4,0,230,65,0,17,28,2025-02-17 15:08:03.316503
stat_00000163,shelter_0001,2025-02-17 15:09:03.316503,77,1.0,11,0,251,137,0,17,10,2025-02-18 15:08:03.316503
stat_00000164,shelter_0001,2025-02-18 15:09:03.316503,73,0.948,0,4,215,32,0,9,13,2025-02-19 15:08:03.316503
stat_00000165,shelter_0001,2025-02-19 15:09:03.316503,77,1.0,12,0,235,136,0,5,29,2025-02-20 15:08:03.316503
stat_00000166,shelter_0001,2025-02-20 15:09:03.316503,77,1.0,0,0,247,109,0,16,1,2025-02-21 15:08:03.316503
stat_00000167,shelter_0001,2025-02-21 15:09:03.316503,77,1.0,12,0,235,75,0,11,9,2025-02-22 15:08:03.316503
stat_00000168,shelter_0001,2025-02-22 15:09:03.316503,77,1.0,3,0,250,33,0,19,18,2025-02-23 15:08:03.316503
stat_00000169,shelter_0001,2025-02-23 15:09:03.316503,77,1.0,13,0,246,20,0,12,10,2025-02-24 15:08:03.316503
stat_00000170,shelter_0001,2025-02-24 15:09:03.316503,75,0.974,0,2,240,128,0,12,2,2025-02-25 15:08:03.316503
stat_00000171,shelter_0001,2025-02-25 15:09:03.316503,77,1.0,7,0,234,71,0,15,22,2025-02-26 15:08:03.316503
stat_00000172,shelter_0001,2025-02-26 15:09:03.316503,77,1.0,6,0,241,54,0,16,17,2025-02-27 15:08:03.316503
stat_00000173,shelter_0001,2025-02-27 15:09:03.316503,70,0.909,0,7,223,75,0,10,11,2025-02-28 15:08:03.316503
stat_00000174,shelter_0001,2025-02-28 15:09:03.316503,77,1.0,15,0,230,120,0,11,22,2025-03-01 15:08:03.316503
stat_00000175,shelter_0001,2025-03-01 15:09:03.316503,70,0.909,0,7,226,104,0,19,0,2025-03-02 15:08:03.316503
stat_00000176,shelter_0001,2025-03-02 15:09:03.316503,62,0.805,0,8,197,103,0,11,18,2025-03-03 15:08:03.316503
stat_00000177,shelter_0001,2025-03-03 15:09:03.316503,66,0.857,4,0,196,15,0,11,17,2025-03-04 15:08:03.316503
stat_00000178,shelter_0001,2025-03-04 15:09:03.316503,73,0.948,7,0,234,122,0,20,16,2025-03-05 15:08:03.316503
stat_00000179,shelter_0001,2025-03-05 15:09:03.316503,77,1.0,6,0,222,82,0,14,12,2025-03-06 15:08:03.316503
stat_00000180,shelter_0001,2025-03-06 15:09:03.316503,77,1.0,13,0,227,22,0,11,14,2025-03-07 15:08:03.316503
stat_00000181,shelter_0001,2025-03-07 15:09:03.316503,77,1.0,3,0,225,141,0,17,6,2025-03-08 15:08:03.316503
stat_00000182,shelter_0001,2025-03-08 15:09:03.316503,68,0.883,0,9,220,108,0,20,26,2025-03-09 15:08:03.316503
stat_00000183,shelter_0001,2025-03-09 15:09:03.316503,61,0.792,0,7,193,85,0,14,6,2025-03-10 15:08:03.316503
stat_00000184,shelter_0001,2025-03-10 15:09:03.316503,63,0.818,2,0,199,88,0,15,12,2025-03-11 15:08:03.316503
stat_00000185,shelter_0001,2025-03-11 15:09:03.316503,69,0.896,6,0,226,14,3,10,12,2025-03-12 15:08:03.316503
stat_00000186,shelter_0001,2025-03-12 15:09:03.316503,67,0.87,0,2,218,133,0,7,8,2025-03-13 15:08:03.316503
stat_00000187,shelter_0001,2025-03-13 15:09:03.316503,69,0.896,2,0,223,101,2,10,20,2025-03-14 15:08:03.316503
stat_00000188,shelter_0001,2025-03-14 15:09:03.316503,65,0.844,0,4,214,26,0,19,18,2025-03-15 15:08:03.316503
stat_00000189,shelter_0001,2025-03-15 15:09:03.316503,63,0.818,0,2,198,30,0,20,19,2025-03-16 15:08:03.316503
stat_00000190,shelter_0001,2025-03-16 15:09:03.316503,77,1.0,14,0,247,15,0,5,6,2025-03-17 15:08:03.316503
stat_00000191,shelter_0001,2025-03-17 15:09:03.316503,77,1.0,0,0,249,68,5,12,30,2025-03-18 15:08:03.316503
stat_00000192,shelter_0001,2025-03-18 15:09:03.316503,77,1.0,9,0,234,44,0,9,16,2025-03-19 15:08:03.316503
stat_00000193,shelter_0001,2025-03-19 15:09:03.316503,77,1.0,6,0,239,118,0,6,19,2025-03-20 15:08:03.316503
stat_00000194,shelter_0001,2025-03-20 15:09:03.316503,77,1.0,15,0,226,3,0,14,28,2025-03-21 15:08:03.316503
stat_00000195,shelter_0001,2025-03-21 15:09:03.316503,73,0.948,0,4,223,128,0,17,14,2025-03-22 15:08:03.316503
stat_00000196,shelter_0001,2025-03-22 15:09:03.316503,77,1.0,4,0,234,21,0,9,29,2025-03-23 15:08:03.316503
stat_00000197,shelter_0001,2025-03-23 15:09:03.316503,69,0.896,0,8,203,107,0,11,7,2025-03-24 15:08:03.316503
stat_00000198,shelter_0001,2025-03-24 15:09:03.316503,63,0.818,0,6,190,16,4,7,4,2025-03-25 15:08:03.316503
stat_00000199,shelter_0001,2025-03-25 15:09:03.316503,67,0.87,4,0,193,47,5,13,2,2025-03-26 15:08:03.316503
stat_00000200,shelter_0001,2025-03-26 15:09:03.316503,60,0.779,0,7,195,120,0,7,13,2025-03-27 15:08:03.316503
stat_00000201,shelter_0001,2025-03-27 15:09:03.316503,68,0.883,8,0,207,112,0,6,15,2025-03-28 15:08:03.316503
stat_00000202,shelter_0001,2025-03-28 15:09:03.316503,70,0.909,2,0,221,138,0,7,8,2025-03-29 15:08:03.316503
stat_00000203,shelter_0001,2025-03-29 15:09:03.316503,69,0.896,0,1,199,42,0,15,23,2025-03-30 15:08:03.316503
stat_00000204,shelter_0001,2025-03-30 15:09:03.316503,77,1.0,8,0,241,102,0,14,12,2025-03-31 15:08:03.316503
