similarity_id,user_id_1,user_id_2,similarity_score,similarity_type,feature_vector_1,feature_vector_2,calculated_at,is_valid,created_at
sim_00000001,user_000722,user_000599,0.6424,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667",2025-09-08 15:09:30.756991,True,2025-09-08 15:09:30.756993
sim_00000002,user_000722,user_000513,0.7808,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.4082,0.4061,0.0,0.1857,0.0,0.0",2025-09-08 15:09:30.757019,True,2025-09-08 15:09:30.757019
sim_00000003,user_000722,user_000773,0.3766,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0351,0.0,0.0,0.0351,0.9298,0.0,0.0",2025-09-08 15:09:30.757036,True,2025-09-08 15:09:30.757036
sim_00000004,user_000722,user_000370,0.1372,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0667,0.0,0.0,0.6667,0.2667,0.0,0.0,0.0",2025-09-08 15:09:30.757049,True,2025-09-08 15:09:30.757049
sim_00000005,user_000722,user_000738,0.3709,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",2025-09-08 15:09:30.757062,True,2025-09-08 15:09:30.757062
sim_00000006,user_000722,user_000442,0.4006,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.0,0.0,0.2083,0.7917,0.0,0.0",2025-09-08 15:09:30.757075,True,2025-09-08 15:09:30.757075
sim_00000007,user_000722,user_000187,0.641,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0",2025-09-08 15:09:30.757093,True,2025-09-08 15:09:30.757094
sim_00000008,user_000722,user_000419,0.1598,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.1818,0.0,0.4545,0.3636,0.0,0.0,0.0",2025-09-08 15:09:30.757125,True,2025-09-08 15:09:30.757126
sim_00000009,user_000722,user_000202,0.9209,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0534,0.0305,0.7023,0.1221,0.0687,0.0076,0.0,0.0153",2025-09-08 15:09:30.757139,True,2025-09-08 15:09:30.757139
sim_00000010,user_000722,user_000928,0.3487,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0333,0.0333,0.0133,0.0133,0.5667,0.3267,0.0,0.0133",2025-09-08 15:09:30.757158,True,2025-09-08 15:09:30.757158
sim_00000011,user_000722,user_000947,0.1649,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",2025-09-08 15:09:30.757169,True,2025-09-08 15:09:30.757170
sim_00000012,user_000722,user_000718,0.2561,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.1739,0.3986,0.0145,0.029,0.0797,0.2826,0.0072,0.0145",2025-09-08 15:09:30.757182,True,2025-09-08 15:09:30.757182
sim_00000013,user_000722,user_000031,0.1689,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.0,0.0,0.4545,0.0,0.0,0.5455",2025-09-08 15:09:30.757194,True,2025-09-08 15:09:30.757194
sim_00000014,user_000722,user_000226,0.1778,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.0,0.0,0.8333,0.0,0.0,0.1667",2025-09-08 15:09:30.757206,True,2025-09-08 15:09:30.757206
sim_00000015,user_000722,user_000666,0.1342,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.0,0.5789,0.1053,0.0,0.0526,0.2632",2025-09-08 15:09:30.757218,True,2025-09-08 15:09:30.757218
sim_00000016,user_000722,user_000778,0.3543,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0",2025-09-08 15:09:30.757236,True,2025-09-08 15:09:30.757236
sim_00000017,user_000722,user_000877,0.8197,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.625,0.375,0.0,0.0,0.0,0.0",2025-09-08 15:09:30.757253,True,2025-09-08 15:09:30.757253
sim_00000018,user_000722,user_000873,0.3686,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.3333",2025-09-08 15:09:30.757273,True,2025-09-08 15:09:30.757273
sim_00000019,user_000722,user_000297,0.9065,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0",2025-09-08 15:09:30.757292,True,2025-09-08 15:09:30.757292
sim_00000020,user_000722,user_000592,0.3709,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",2025-09-08 15:09:30.757304,True,2025-09-08 15:09:30.757304
sim_00000021,user_000722,user_000428,0.3951,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.0,0.2857,0.25,0.4643,0.0,0.0",2025-09-08 15:09:30.757322,True,2025-09-08 15:09:30.757322
sim_00000022,user_000722,user_000865,0.7492,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.5455,0.4545,0.0,0.0,0.0,0.0",2025-09-08 15:09:30.757333,True,2025-09-08 15:09:30.757333
sim_00000023,user_000722,user_000443,0.8185,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0323,0.0,0.5806,0.3548,0.0,0.0,0.0,0.0323",2025-09-08 15:09:30.757345,True,2025-09-08 15:09:30.757345
