preference_id,user_id,item_category,preference_score,interaction_count,last_interaction,created_at,updated_at
pref_00000001,user_000001,clothing,0.2667,1,2025-09-08 15:08:54,2025-09-08 15:09:10.609181,2025-09-08 15:09:10.609182
pref_00000002,user_000001,medical,0.7333,3,2025-09-08 15:08:54,2025-09-08 15:09:10.609836,2025-09-08 15:09:10.609836
pref_00000003,user_000002,education,0.3529,2,2025-09-08 15:08:40,2025-09-08 15:09:10.613727,2025-09-08 15:09:10.613728
pref_00000004,user_000002,medical,0.0588,1,2025-09-08 15:08:40,2025-09-08 15:09:10.614449,2025-09-08 15:09:10.614450
pref_00000005,user_000002,food,0.2941,1,2025-09-08 15:08:40,2025-09-08 15:09:10.615157,2025-09-08 15:09:10.615158
pref_00000006,user_000002,other,0.2941,1,2025-09-08 15:08:40,2025-09-08 15:09:10.615834,2025-09-08 15:09:10.615834
pref_00000007,user_000003,other,0.6667,8,2025-09-08 15:08:39,2025-09-08 15:09:10.623229,2025-09-08 15:09:10.623230
pref_00000008,user_000003,shelter,0.2667,2,2025-09-08 15:08:39,2025-09-08 15:09:10.625221,2025-09-08 15:09:10.625222
pref_00000009,user_000003,daily,0.0667,1,2025-09-08 15:08:39,2025-09-08 15:09:10.626740,2025-09-08 15:09:10.626741
pref_00000010,user_000004,medical,1.0,1,2025-09-08 15:06:59,2025-09-08 15:09:10.628639,2025-09-08 15:09:10.628639
pref_00000011,user_000005,other,0.1118,0,,2025-09-08 15:09:10.630022,2025-09-08 15:09:10.630023
pref_00000012,user_000005,food,0.5572,0,,2025-09-08 15:09:10.630032,2025-09-08 15:09:10.630033
pref_00000013,user_000005,hygiene,0.331,0,,2025-09-08 15:09:10.630039,2025-09-08 15:09:10.630039
pref_00000014,user_000006,education,1.0,1,2025-09-08 15:04:58,2025-09-08 15:09:10.631908,2025-09-08 15:09:10.631908
pref_00000015,user_000007,hygiene,0.0975,0,,2025-09-08 15:09:10.633315,2025-09-08 15:09:10.633316
pref_00000016,user_000007,education,0.5274,0,,2025-09-08 15:09:10.633323,2025-09-08 15:09:10.633323
pref_00000017,user_000007,daily,0.3752,0,,2025-09-08 15:09:10.633328,2025-09-08 15:09:10.633329
pref_00000018,user_000008,education,0.96,9,2025-09-08 15:09:03,2025-09-08 15:09:10.641079,2025-09-08 15:09:10.641081
pref_00000019,user_000008,food,0.04,1,2025-09-08 15:09:03,2025-09-08 15:09:10.642530,2025-09-08 15:09:10.642531
pref_00000020,user_000009,medical,1.0,2,2025-09-08 15:08:21,2025-09-08 15:09:10.645042,2025-09-08 15:09:10.645042
pref_00000021,user_000010,shelter,0.4432,22,2025-09-08 15:09:00,2025-09-08 15:09:10.679106,2025-09-08 15:09:10.679107
pref_00000022,user_000010,hygiene,0.1946,13,2025-09-08 15:09:00,2025-09-08 15:09:10.687986,2025-09-08 15:09:10.687987
pref_00000023,user_000010,food,0.2432,19,2025-09-08 15:09:00,2025-09-08 15:09:10.696637,2025-09-08 15:09:10.696638
pref_00000024,user_000010,clothing,0.0216,2,2025-09-08 15:09:00,2025-09-08 15:09:10.706071,2025-09-08 15:09:10.706072
pref_00000025,user_000010,other,0.0324,2,2025-09-08 15:09:00,2025-09-08 15:09:10.714738,2025-09-08 15:09:10.714738
