shelter_id,manager_id,shelter_name,disaster_type,status,address,latitude,longitude,total_capacity,current_occupancy,occupancy_rate,has_disabled_facility,has_pet_zone,amenities,contact_person,contact_phone,contact_email,total_requests,fulfilled_requests,pending_requests,created_at,updated_at
shelter_0001,user_0050,(주) 코어글로벌항공 대피소,태풍,포화,강원도 청주시 청원구 언주915가 990 (은주김김동),35.231409,126.633802,121,98,0.81,False,False,"의료실,휴게실",이예준,043-195-2569,iseohyeon@example.org,66,0,0,2025-02-07T16:51:28,2025-02-07T16:51:28
shelter_0002,user_0046,유한회사 보람스타랩스 대피소,화재,포화,강원도 여주시 잠실가 836-38,36.251303,131.779919,89,13,0.15,False,False,"의료실,급식실",박예원,016-420-9548,ijeonghyi@example.net,147,0,0,2025-06-28T10:24:29,2025-06-28T10:24:29
shelter_0003,user_0049,주식회사 월드 대피소,홍수,포화,울산광역시 중구 테헤란330길 307-85 (현지최면),34.426446,129.774133,51,33,0.65,False,True,"샤워실,휴게실",박성현,055-618-4438,ugim@example.net,80,0,0,2024-09-14T22:48:34,2024-09-14T22:48:34
shelter_0004,user_0170,(유) 우리반도체 대피소,태풍,폐쇄,경상남도 충주시 양재천3길 371,37.748886,129.854206,357,259,0.73,False,False,"휴게실,샤워실",최정순,041-662-0157,hayungim@example.net,75,0,0,2025-07-12T23:41:17,2025-07-12T23:41:17
shelter_0005,user_0142,유한회사 나루첨단은행 대피소,홍수,폐쇄,경기도 부천시 소사구 개포가 지하705,33.712812,127.669258,438,346,0.79,False,False,"의료실,급식실",김지아,019-176-4750,gimsanghun@example.net,73,0,0,2025-01-26T09:40:28,2025-01-26T09:40:28
shelter_0006,user_0054,주식회사 가야 대피소,화재,포화,전라북도 청주시 청원구 석촌호수길 661-90 (재호김이마을),35.407374,128.833889,720,329,0.46,False,True,"휴게실,샤워실",송경수,010-8871-8981,hyeonsugbae@example.org,43,0,0,2025-02-09T22:09:48,2025-02-09T22:09:48
shelter_0007,user_0169,주식회사 가람 대피소,태풍,운영중,전라남도 부천시 소사구 테헤란길 576 (지민김구마을),33.474855,128.3628,698,634,0.91,True,False,"급식실,의료실",주민준,018-034-0848,fgim@example.net,37,0,0,2025-07-09T23:52:54,2025-07-09T23:52:54
shelter_0008,user_0007,(유) 종합 대피소,화재,포화,강원도 태안군 언주로 307,33.258797,131.782733,675,74,0.11,True,False,"휴게실,급식실",김미정,010-3954-2961,yeongho26@example.com,62,0,0,2024-05-09T12:31:25,2024-05-09T12:31:25
shelter_0009,user_0038,유한회사 하나나루항공 대피소,지진,포화,강원도 서천군 가락359길 지하842,36.673925,124.640477,818,788,0.96,True,True,"휴게실,의료실",진시우,02-9314-1818,ogim@example.org,142,0,0,2023-11-13T02:56:29,2023-11-13T02:56:29
shelter_0010,user_0064,(유) 나루마루시스템 대피소,태풍,포화,부산광역시 서대문구 개포로 540,38.137832,125.485918,186,118,0.63,False,False,"급식실,샤워실",이지은,063-185-9484,baeseongho@example.com,121,0,0,2024-06-17T06:25:06,2024-06-17T06:25:06
