shelter_id,manager_id,shelter_name,disaster_type,status,address,latitude,longitude,total_capacity,current_occupancy,occupancy_rate,has_disabled_facility,has_pet_zone,amenities,contact_person,contact_phone,contact_email,total_requests,fulfilled_requests,pending_requests,created_at,updated_at
SH_000001,user_000000,테크노폴리스 남해오네뜨 1차 아파트 지하1~2층,지진,운영중,대구광역시 달성군 현풍읍 테크노북로4길 11(대구테크노폴리스남해오네뜨1차),35.69583333333333,128.45527777777778,9656,0,0,False,False,,최고관리자,053-668-2890,,0,0,0,2025-09-16T12:44:39.840856,2025-09-16T12:44:39.840856
SH_000002,user_000000,테크노폴리스 LH천년나무1단지 아파트 지하1층,지진,운영중,대구광역시 달성군 현풍읍 테크노북로2길 10(대구테크노폴리스엘에이치천년나무1단지),35.69166666666666,128.45027777777776,9010,0,0,False,False,,최고관리자,053-668-2890,,0,0,0,2025-09-16T12:44:39.840856,2025-09-16T12:44:39.840856
SH_000003,user_000000,테크노폴리스 LH천년나무2단지 아파트 지하1층,지진,운영중,대구광역시 달성군 현풍읍 테크노북로2길 30(대구테크노폴리스엘에이치천년나무2단지),35.69138888888889,128.45222222222222,12647,0,0,False,False,,최고관리자,053-668-2890,,0,0,0,2025-09-16T12:44:39.840856,2025-09-16T12:44:39.840856
SH_000004,user_000000,테크노폴리스 제일풍경채더퍼스트 아파트 지하1층,지진,운영중,대구광역시 달성군 현풍읍 테크노상업로 49(제일풍경채더퍼스트),35.69333333333333,128.45499999999998,12306,0,0,False,False,,최고관리자,053-668-2890,,0,0,0,2025-09-16T12:44:39.840856,2025-09-16T12:44:39.840856
SH_000005,user_000000,테크노폴리스 일동미라주 아파트 지하1층,지진,운영중,대구광역시 달성군 현풍읍 테크노북로2길 9(대구테크노폴리스일동미라주더파크),35.69222222222222,128.45027777777776,10469,0,0,False,False,,최고관리자,053-668-2890,,0,0,0,2025-09-16T12:44:39.840856,2025-09-16T12:44:39.840856
SH_000006,user_000000,테크노폴리스 LH천년나무 3단지 아파트 지하1층,지진,운영중,대구광역시 달성군 현풍읍 테크노북로4길 27(대구테크노폴리스엘에이치천년나무3단지),35.69444444444444,128.45583333333332,5802,0,0,False,False,,최고관리자,053-668-2890,,0,0,0,2025-09-16T12:44:39.840856,2025-09-16T12:44:39.840856
SH_000007,user_000000,청구목욕탕,지진,운영중,대구광역시 달성군 현풍읍 현풍중앙로21길 2,35.698055555555555,128.44222222222223,95,0,0,False,False,,최고관리자,053-668-2890,,0,0,0,2025-09-16T12:44:39.840856,2025-09-16T12:44:39.840856
SH_000008,user_000000,테크노폴리스 서한이다음 아파트 지하1층,지진,운영중,대구광역시 달성군 현풍읍 테크노상업로 33(대구테크노폴리스 서한이다음),35.69222222222222,128.45333333333332,11006,0,0,False,False,,최고관리자,053-668-2890,,0,0,0,2025-09-16T12:44:39.840856,2025-09-16T12:44:39.840856
SH_000009,user_000000,달성종합스포츠파크,지진,운영중,대구광역시 달성군 현풍읍 비슬로 738,35.70277777777778,128.4402777777778,90,0,0,False,False,,최고관리자,053-668-2890,,0,0,0,2025-09-16T12:44:39.840856,2025-09-16T12:44:39.840856
SH_000010,user_000000,대구보훈요양원 지하1층,지진,운영중,"대구광역시 달성군 하빈면 하산길 123-23, 대구보훈요양원",35.890277777777776,128.4075,421,0,0,False,False,,최고관리자,053-668-2890,,0,0,0,2025-09-16T12:44:39.840856,2025-09-16T12:44:39.840856
SH_000011,user_000000,평광행복타운 지하주차장 1층,지진,운영중,대구광역시 달성군 논공읍 논공중앙로22길 12-0,35.72527777777778,128.4475,749,0,0,False,False,,최고관리자,053-668-2890,,0,0,0,2025-09-16T12:44:39.840856,2025-09-16T12:44:39.840856
SH_000012,user_000000,정부지원 민방위 비상급수시설(군민운동장내),한파,운영중,대구광역시 달성군 논공읍 논공로 697-10,35.72944444444445,128.4488888888889,300,0,0,False,False,,최고관리자,053-668-2890,,0,0,0,2025-09-16T12:44:39.840856,2025-09-16T12:44:39.840856
SH_000013,user_000000,우방연합아파트 지하주차장 1층,지진,운영중,대구광역시 달성군 논공읍 논공중앙로22길 36-0,35.72361111111111,128.4488888888889,1493,0,0,False,False,,최고관리자,053-668-2890,,0,0,0,2025-09-16T12:44:39.840856,2025-09-16T12:44:39.840856
SH_000014,user_000000,성원 아파트 지하주차장 1층,지진,운영중,대구광역시 달성군 논공읍 논공로23길 14-0,35.73111111111111,128.4452777777778,3949,0,0,False,False,,최고관리자,053-668-2890,,0,0,0,2025-09-16T12:44:39.840856,2025-09-16T12:44:39.840856
SH_000015,user_000000,달성군청 지하 1층,지진,운영중,대구광역시 달성군 논공읍 달성군청로 33,35.77472222222222,128.43166666666664,658,0,0,False,False,,최고관리자,053-668-2890,,0,0,0,2025-09-16T12:44:39.840856,2025-09-16T12:44:39.840856
SH_000016,user_000000,대동공업,지진,운영중,대구광역시 달성군 논공읍 논공중앙로34길 35,35.727222222222224,128.45555555555555,280,0,0,False,False,,최고관리자,053-668-2890,,0,0,0,2025-09-16T12:44:39.840856,2025-09-16T12:44:39.840856
SH_000017,user_000000,우신미가뷰 아파트 지하주차장 1~3층,지진,운영중,대구광역시 달성군 논공읍 금포로 75-20(우신미가뷰 아파트),35.769999999999996,128.4283333333333,44801,0,0,False,False,,최고관리자,053-668-2890,,0,0,0,2025-09-16T12:44:39.840856,2025-09-16T12:44:39.840856
