시설구분코드|시설코드|시설명|시설규모|대피가능인원수|관리기관명|관리기관전화번호|시설주소도로명|경도|위도|개방여부|지상지하구분
지진|S201600002|테크노폴리스 남해오네뜨 1차 아파트 지하1~2층|7967|9656|대구광역시 달성군청|053-668-2890|대구광역시 달성군 현풍읍 테크노북로4길 11(대구테크노폴리스남해오네뜨1차)|128.45527777777778|35.69583333333333|Y|1
지진|S201700039|테크노폴리스 LH천년나무1단지 아파트 지하1층|7434|9010|대구광역시 달성군청|053-668-2890|대구광역시 달성군 현풍읍 테크노북로2길 10(대구테크노폴리스엘에이치천년나무1단지)|128.45027777777776|35.69166666666666|Y|1
지진|S201700040|테크노폴리스 LH천년나무2단지 아파트 지하1층|10434|12647|대구광역시 달성군청|053-668-2890|대구광역시 달성군 현풍읍 테크노북로2길 30(대구테크노폴리스엘에이치천년나무2단지)|128.45222222222222|35.69138888888889|Y|1
지진|S201700041|테크노폴리스 제일풍경채더퍼스트 아파트 지하1층|10153|12306|대구광역시 달성군청|053-668-2890|대구광역시 달성군 현풍읍 테크노상업로 49(제일풍경채더퍼스트)|128.45499999999998|35.69333333333333|Y|1
지진|S201700043|테크노폴리스 일동미라주 아파트 지하1층|8637|10469|대구광역시 달성군청|053-668-2890|대구광역시 달성군 현풍읍 테크노북로2길 9(대구테크노폴리스일동미라주더파크)|128.45027777777776|35.69222222222222|Y|1
지진|S201700062|테크노폴리스 LH천년나무 3단지 아파트 지하1층|4787|5802|대구광역시 달성군청|053-668-2890|대구광역시 달성군 현풍읍 테크노북로4길 27(대구테크노폴리스엘에이치천년나무3단지)|128.45583333333332|35.69444444444444|Y|1
지진|E201900001|청구목욕탕|95|95|대구광역시 달성군청|053-668-2890|대구광역시 달성군 현풍읍 현풍중앙로21길 2|128.44222222222223|35.698055555555555|Y|0
지진|S201700042|테크노폴리스 서한이다음 아파트 지하1층|9080|11006|대구광역시 달성군청|053-668-2890|대구광역시 달성군 현풍읍 테크노상업로 33(대구테크노폴리스 서한이다음)|128.45333333333332|35.69222222222222|Y|1
지진|E202100004|달성종합스포츠파크|90|90|대구광역시 달성군청|053-668-2890|대구광역시 달성군 현풍읍 비슬로 738|128.4402777777778|35.70277777777778|Y|0
지진|S202200001|대구보훈요양원 지하1층|348|421|대구광역시 달성군청|053-668-2890|대구광역시 달성군 하빈면 하산길 123-23, 대구보훈요양원|128.4075|35.890277777777776|Y|1
